appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
496037041;"US";"201715841196";"A ";2017-12-13;2017;"US201715841196";"15841196";"PI";"  ";0;"N";"N";"Y";2016-12-16;2016;904921636;2018-06-21;2018;496037042;"N";62556153;10818973;3;0;1;9
492083716;"US";"201715824121";"A ";2017-11-28;2017;"US201715824121";"15824121";"PI";"  ";0;"N";"N";"Y";2014-03-14;2014;904676631;2018-03-22;2018;492083717;"N";54070543;9966345;12;5;1;3
492137046;"DE";"102017122655";"A ";2017-09-28;2017;"DE201710122655";"102017122655";"PI";"  ";0;"N";"N";"Y";2016-09-30;2016;484966442;2018-04-05;2018;492137047;"N";60040962;10879071;3;0;1;1
488972681;"US";"201715668306";"A ";2017-08-03;2017;"US201715668306";"15668306";"PI";"  ";330420447;"Y";"N";"Y";2009-07-07;2009;327941475;2018-01-25;2018;488972682;"N";42940195;8180327;7;1;2;3
489363067;"KR";"20170062977";"A ";2017-05-22;2017;"KR20170062977";"1020170062977";"PI";"  ";0;"N";"N";"Y";2016-07-14;2016;483727000;2018-01-24;2018;489363068;"N";59797435;10824927;2;0;1;6
474761244;"EP";"17154048";"A ";2017-01-31;2017;"EP20170154048";"17154048";"PI";"  ";0;"N";"Y";"N";2016-05-31;2016;488754214;2017-12-06;2017;485769686;"N";57956151;10474693;4;0;2;4
479267417;"US";"201715430600";"A ";2017-02-13;2017;"US201715430600";"15430600";"PI";"  ";375091884;"Y";"N";"Y";2012-04-10;2012;375091884;2017-06-01;2017;479267418;"N";58778009;8901182;1;0;1;4
484469173;"US";"201715628051";"A ";2017-06-20;2017;"US201715628051";"15628051";"PI";"  ";0;"N";"N";"Y";2011-07-11;2011;380228140;2017-10-05;2017;484469174;"N";47506821;9020455;4;23;1;4
496655930;"US";"201715858013";"A ";2017-12-29;2017;"US201715858013";"15858013";"PI";"  ";0;"N";"N";"Y";2016-12-29;2016;487366049;2018-07-05;2018;496655931;"N";60581596;10805362;3;0;1;1
492625318;"US";"201715834649";"A ";2017-12-07;2017;"US201715834649";"15834649";"PI";"  ";0;"N";"N";"Y";2006-08-30;2006;906011586;2018-04-05;2018;492625319;"N";39152092;7182481;5;13;1;3
496983726;"KR";"20170020287";"A ";2017-02-15;2017;"KR20170020287";"1020170020287";"PI";"  ";0;"N";"N";"Y";2016-12-09;2016;496286305;2018-06-19;2018;496983727;"N";62619474;10964034;2;0;2;7
490009471;"CA";"2989845";"A ";2017-04-05;2017;"CA20172989845";"2989845";"PI";"  ";489519565;"Y";"N";"Y";2016-08-04;2016;490131764;2018-02-04;2018;490009472;"N";61073846;10845406;4;0;1;3
482878363;"US";"201715587445";"A ";2017-05-05;2017;"US201715587445";"15587445";"PI";"  ";375091532;"Y";"N";"Y";2011-03-02;2011;375556169;2017-08-24;2017;482878364;"N";46758186;8902488;5;7;6;5
486254283;"US";"201715590425";"A ";2017-05-09;2017;"US201715590425";"15590425";"PI";"  ";0;"N";"N";"Y";2016-05-10;2016;478624891;2017-11-16;2017;486254284;"N";58669664;10570758;3;0;1;5
486386286;"US";"201715498572";"A ";2017-04-27;2017;"US201715498572";"15498572";"PI";"  ";0;"N";"N";"Y";2016-05-02;2016;904875563;2017-11-23;2017;486386287;"Y";60329053;10773963;2;0;1;2
486577042;"EP";"17203928";"A ";2017-11-27;2017;"EP20170203928";"17203928";"PI";"  ";0;"N";"Y";"N";2016-12-27;2016;496335101;2018-07-04;2018;495035113;"N";60543357;10776876;2;0;1;9
494900993;"TW";"106115093";"A ";2017-05-08;2017;"TW20170115093";"106115093";"PI";"  ";0;"N";"N";"Y";2016-05-09;2016;902122905;2018-03-01;2018;494900994;"N";55919764;10569119;3;0;2;18
494905216;"TW";"106113642";"A ";2017-04-24;2017;"TW20170113642";"106113642";"PI";"  ";0;"N";"N";"Y";2016-04-25;2016;902123712;2018-03-01;2018;494905217;"N";58544946;10545128;4;0;1;23
